second,top,bottom,left,right,total
463,1,0,0,0,1
464,1,0,0,1,2
465,1,1,0,0,2
466,1,1,0,0,2
467,2,0,0,0,2
468,1,0,0,1,2
469,2,0,0,0,2
470,0,0,0,0,0
471,0,0,0,0,0
472,0,1,0,0,1
473,0,0,0,0,0
474,1,0,0,0,1
475,0,0,0,0,0
476,0,1,0,0,1
477,0,0,0,0,0
478,1,0,0,0,1
479,0,1,0,1,2
480,0,2,0,0,2
481,1,0,0,0,1
482,0,1,0,0,1
483,0,0,0,0,0
484,1,1,0,0,2
485,0,1,0,0,1
486,0,0,0,0,0
487,0,1,0,0,1
488,1,1,0,0,2
489,0,0,0,0,0
490,1,2,0,0,3
491,0,0,0,0,0
492,1,1,0,0,2
493,0,0,0,0,0
494,1,1,0,0,2
495,0,1,0,0,1
496,1,1,0,0,2
497,0,0,0,0,0
498,1,0,0,0,1
499,0,1,0,0,1
500,1,1,0,0,2
501,0,0,0,0,0
502,1,1,0,0,2
503,1,1,0,0,2
504,0,0,0,0,0
505,0,0,0,0,0
506,0,0,0,0,0
507,0,0,0,0,0
508,0,0,0,0,0
509,0,0,0,1,1
510,0,0,1,2,3
511,0,0,0,0,0
512,0,0,0,2,2
513,1,0,1,1,3
514,0,0,2,1,3
515,0,0,1,1,2
516,0,0,0,1,1
517,0,1,2,1,4
518,0,0,0,1,1
519,0,0,2,1,3
520,0,0,0,1,1
521,0,0,0,1,1
522,0,0,0,2,2
523,0,0,2,1,3
524,0,0,0,0,0
525,0,0,0,2,2
526,0,0,1,0,1
527,0,0,0,2,2
528,0,0,2,0,2
529,0,0,0,0,0
530,0,0,0,2,2
531,0,0,2,1,3
532,0,0,0,0,0
533,0,0,0,2,2
534,0,0,0,1,1
535,0,0,0,2,2
536,0,0,0,1,1
537,0,0,0,0,0
538,0,0,1,0,1
539,0,0,0,1,1
540,0,0,2,1,3
541,0,0,0,3,3
542,0,0,0,0,0
543,0,0,2,1,3
544,0,0,0,2,2
545,0,0,2,0,2
546,0,0,1,1,2
547,0,0,0,1,1
548,0,0,1,2,3
549,0,0,2,2,4
550,0,0,0,1,1
551,0,0,1,2,3
552,0,0,0,0,0
553,0,0,0,1,1
554,0,0,0,3,3
555,0,0,0,1,1
556,0,0,1,1,2
557,0,0,1,0,1
558,0,0,0,1,1
559,0,0,2,1,3
560,0,0,1,1,2
561,0,0,1,0,1
562,0,0,0,2,2
563,0,0,1,0,1
564,0,0,0,2,2
565,0,0,1,1,2
566,0,0,0,1,1
567,0,0,0,1,1
568,0,0,0,1,1
569,0,0,0,3,3
570,0,0,0,1,1
571,0,0,0,1,1
572,0,0,0,1,1
