second,phase,queue_top,queue_bottom,queue_left,queue_right,total_queue,arrivals_top,arrivals_bottom,arrivals_left,arrivals_right
372,vertical_green,35,8,14,15,72,0,0,0,1
373,vertical_green,34,7,14,15,70,0,0,0,0
374,vertical_green,33,6,14,16,69,0,0,0,1
375,vertical_green,32,5,14,17,68,0,0,0,1
376,vertical_green,31,4,14,19,68,0,0,0,2
377,vertical_green,31,3,14,22,70,1,0,0,3
378,vertical_green,30,2,14,22,68,0,0,0,0
379,vertical_green,29,1,14,24,68,0,0,0,2
380,vertical_green,28,0,14,25,67,0,0,0,1
381,vertical_green,27,0,14,26,67,0,0,0,1
382,vertical_green,26,0,14,28,68,0,0,0,2
383,vertical_green,25,0,14,29,68,0,0,0,1
384,vertical_green,24,0,14,30,68,0,0,0,1
385,vertical_green,23,0,15,30,68,0,0,1,0
386,vertical_green,22,0,15,32,69,0,0,0,2
387,vertical_green,21,0,15,32,68,0,0,0,0
388,vertical_green,20,0,15,32,67,0,0,0,0
389,vertical_green,19,0,15,33,67,0,0,0,1
390,vertical_green,18,0,15,34,67,0,0,0,1
391,vertical_green,17,0,16,36,69,0,0,1,2
392,vertical_green,16,0,16,36,68,0,0,0,0
393,vertical_green,15,0,17,38,70,0,1,1,2
394,vertical_green,14,0,17,38,69,0,0,0,0
395,vertical_green,13,0,18,40,71,0,0,1,2
396,vertical_green,12,0,18,40,70,0,0,0,0
397,vertical_green,11,0,19,42,72,0,0,1,2
398,vertical_green,10,0,20,43,73,0,0,1,1
399,vertical_green,9,0,20,44,73,0,0,0,1
400,vertical_green,8,0,20,45,73,0,0,0,1
401,vertical_green,7,0,20,45,72,0,0,0,0
402,vertical_green,6,0,20,47,73,0,0,0,2
403,vertical_green,5,0,20,48,73,0,0,0,1
404,vertical_green,4,0,20,49,73,0,0,0,1
405,vertical_yellow,4,0,20,50,74,0,0,0,1
406,vertical_yellow,4,0,20,52,76,0,0,0,2
407,all_red_2,4,0,21,53,78,0,0,1,1
408,horizontal_green,4,0,20,53,77,0,0,0,1
409,horizontal_green,4,0,19,53,76,0,0,0,1
410,horizontal_green,4,0,18,52,74,0,0,0,0
411,horizontal_green,4,0,17,53,74,0,0,0,2
412,horizontal_green,4,0,16,52,72,0,0,0,0
413,horizontal_green,4,0,15,54,73,0,0,0,3
414,horizontal_green,4,0,14,53,71,0,0,0,0
415,horizontal_green,4,0,13,54,71,0,0,0,2
416,horizontal_green,4,0,12,55,71,0,0,0,2
417,horizontal_green,4,0,11,54,69,0,0,0,0
418,horizontal_green,4,0,10,54,68,0,0,0,1
419,horizontal_green,4,0,9,54,67,0,0,0,1
420,horizontal_green,4,0,8,54,66,0,0,0,1
421,horizontal_green,4,0,8,55,67,0,0,1,2
422,horizontal_green,4,0,7,54,65,0,0,0,0
423,horizontal_green,4,1,6,53,64,0,1,0,0
424,horizontal_green,4,1,5,52,62,0,0,0,0
425,horizontal_green,4,1,4,51,60,0,0,0,0
426,horizontal_green,4,1,3,50,58,0,0,0,0
427,horizontal_green,4,1,2,49,56,0,0,0,0
428,horizontal_green,6,1,1,49,57,2,0,0,1
429,horizontal_green,7,3,0,48,58,1,2,0,0
430,horizontal_green,9,4,0,47,60,2,1,1,0
431,horizontal_green,9,6,0,46,61,0,2,0,0
432,horizontal_green,12,6,0,45,63,3,0,0,0
433,horizontal_green,13,9,0,44,66,1,3,0,0
434,horizontal_green,16,9,0,43,68,3,0,0,0
435,horizontal_green,16,10,0,42,68,0,1,0,0
436,horizontal_green,20,12,0,42,74,4,2,0,1
437,horizontal_green,20,13,0,41,74,0,1,0,0
438,horizontal_green,23,13,0,41,77,3,0,0,1
439,horizontal_green,24,14,0,40,78,1,1,0,0
440,horizontal_green,25,15,0,39,79,1,1,0,0
441,horizontal_green,28,16,0,38,82,3,1,0,0
442,horizontal_green,29,16,0,38,83,1,0,0,1
443,horizontal_green,29,16,0,37,82,0,0,0,0
444,horizontal_green,31,17,0,36,84,2,1,0,0
445,horizontal_green,31,18,0,35,84,0,1,0,0
446,horizontal_green,33,18,0,34,85,2,0,0,0
447,horizontal_green,34,19,0,33,86,1,1,0,0
448,horizontal_green,37,19,0,32,88,3,0,0,0
449,horizontal_green,38,19,0,31,88,1,0,0,0
450,horizontal_green,38,19,0,30,87,0,0,0,0
451,horizontal_green,41,19,0,29,89,3,0,0,0
452,horizontal_green,41,19,0,28,88,0,0,0,0
453,horizontal_green,44,19,0,27,90,3,0,0,0
454,horizontal_green,45,19,0,26,90,1,0,0,0
455,horizontal_green,48,19,0,26,93,3,0,0,1
456,horizontal_green,48,19,0,25,92,0,0,0,0
457,horizontal_green,48,20,0,24,92,0,1,0,0
458,horizontal_green,49,20,0,24,93,1,0,0,1
459,horizontal_green,50,20,0,23,93,1,0,0,0
460,horizontal_green,50,20,0,22,92,0,0,0,0
461,horizontal_green,52,20,0,22,94,2,0,0,1
462,horizontal_green,52,20,0,21,93,0,0,0,0
463,horizontal_green,53,20,0,20,93,1,0,0,0
464,horizontal_green,54,20,0,20,94,1,0,0,1
465,horizontal_yellow,55,21,0,20,96,1,1,0,0
466,horizontal_yellow,56,22,0,20,98,1,1,0,0
467,all_red_1,58,22,0,20,100,2,0,0,0
468,vertical_green,58,21,0,21,100,1,0,0,1
469,vertical_green,59,20,0,21,100,2,0,0,0
470,vertical_green,58,19,0,21,98,0,0,0,0
471,vertical_green,57,18,0,21,96,0,0,0,0
472,vertical_green,56,18,0,21,95,0,1,0,0
473,vertical_green,55,17,0,21,93,0,0,0,0
474,vertical_green,55,16,0,21,92,1,0,0,0
475,vertical_green,54,15,0,21,90,0,0,0,0
476,vertical_green,53,15,0,21,89,0,1,0,0
